
####--------------------GradientBoostingClassifier Grid Search----------#####

### Tuning hyper-parameters for f1
Best parameters set found on development set for GradientBoostingClassifier: {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 10}
0.062 (+/-0.156) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.059 (+/-0.103) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.052 (+/-0.054) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.127 (+/-0.178) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.044 (+/-0.113) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.042 (+/-0.111) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.072 (+/-0.085) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.077 (+/-0.163) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.055 (+/-0.135) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.050 (+/-0.101) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.078 (+/-0.118) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.052 (+/-0.089) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.087 (+/-0.115) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.037 (+/-0.061) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.026 (+/-0.064) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.029 (+/-0.071) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.017 (+/-0.067) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 10, 'max_depth': 5}
0.074 (+/-0.108) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.048 (+/-0.093) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.103 (+/-0.145) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.047 (+/-0.090) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.075 (+/-0.121) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.101 (+/-0.073) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.102 (+/-0.061) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.075 (+/-0.096) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.037 (+/-0.060) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.090 (+/-0.094) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.063 (+/-0.126) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.075 (+/-0.088) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.092 (+/-0.071) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.095 (+/-0.057) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.108 (+/-0.191) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.053 (+/-0.055) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.052 (+/-0.101) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.055 (+/-0.106) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.037 (+/-0.060) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.062 (+/-0.014) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.054 (+/-0.061) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.7, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.077 (+/-0.052) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.090 (+/-0.055) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.9, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.067 (+/-0.124) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0, 'init': None, 'min_samples_split': 4, 'criterion': 'friedman_mse', 'max_features': 40, 'max_depth': 5}
0.113 (+/-0.126) for {'loss': 'deviance', 'min_samples_leaf': 1, 'n_estimators': 50, 'subsample': 0.7, 'init': None, 'min_samples_split': 2, 'criterion': 'friedman_mse', 'max_features': None, 'max_depth': 5}
